,Product Name,Prices,Rating,Gender
0,T-Shirt Garis Mini Lengan Pendek,149000,4.9,WANITA
1,T-Shirt Mini | Lengan Pendek,149000,4.9,WANITA
2,AIRism Katun T-Shirt | Lengan Pendek,199000,4.9,WANITA
3,T-Shirt Mini | Lengan Pendek,149000,4.9,WANITA
4,T-Shirt Kerah Bulat | Lengan Pendek,199000,4.9,WANITA
5,T-Shirt Rib Lembut Lengan Panjang | Raglan,249000,0.0,WANITA
6,AIRism Katun T-Shirt | Lengan Panjang Garis,199000,5.0,WANITA
7,AIRism Katun T-Shirt Panjang Rileks,249000,4.9,WANITA
8,AIRism Katun T-Shirt | Lengan Panjang,199000,4.6,WANITA
9,T-Shirt Katun Lembut Rileks | Lengan Panjang,129000,4.9,WANITA
10,T-Shirt Fleece Rajut Lembut Kerah Bulat,299000,4.9,WANITA
11,T-Shirt Rib Lembut Garis Kerah Bulat Lengan Panjang,249000,5.0,WANITA
12,T-Shirt Rib Lembut Kerah Bulat Lengan Panjang,249000,4.8,WANITA
13,T-Shirt Fleece Rajut Lembut Kerah Bulat,299000,4.9,WANITA
14,T-Shirt Waffle | Lengan Panjang,149000,4.9,WANITA
15,HEATTECH T-Shirt Fleece Kerah Tinggi Lengan Panjang (Turtleneck),199000,4.9,WANITA
16,AIRism Katun T-Shirt | Garis Lengan Panjang,299000,5.0,UNISEKS
17,T-Shirt Oversize Garis Kerah Bulat | Lengan 1/2,199000,4.9,UNISEKS
18,AIRism Katun Kaos Polo Kerah Terbuka | Lengan Pendek,299000,4.9,UNISEKS
19,AIRism Katun Kaos Polo | Lengan Pendek,299000,4.9,UNISEKS
20,T-Shirt Oversize Garis Kerah Bulat | Lengan 1/2,199000,5.0,UNISEKS
21,AIRism Katun Kaos Polo Pique | Lengan Pendek,299000,4.8,UNISEKS
22,AIRism Katun T-Shirt Kerah Bulat | Lengan Panjang,299000,4.8,UNISEKS
23,T-Shirt Dry Warna Kerah Bulat | Lengan Pendek,99000,4.9,UNISEKS
24,AIRism Katun T-Shirt Oversize Kerah Bulat | Lengan 1/2,249000,4.9,UNISEKS
25,AIRism Katun T-Shirt Oversize | Garis Lengan 1/2,199000,4.9,UNISEKS
26,T-Shirt Waffle Kerah Bulat | Lengan Panjang,199000,4.9,UNISEKS
27,T-Shirt SUPIMA Katun Kerah Bulat | Lengan Pendek,199000,4.8,UNISEKS
28,Pullover Waffle Kerah Henley | Lengan Panjang,199000,4.9,UNISEKS
29,Kaos Polo Dry Pique Motif | Lengan Pendek,299000,4.9,UNISEKS
30,Kaos Polo Dry Pique | Tipping Lengan Pendek,299000,4.9,UNISEKS
31,Kaos Polo Dry Pique | Garis Lengan Pendek,299000,4.9,UNISEKS
32,Kaos Polo Dry Pique | Lengan Pendek,299000,4.8,UNISEKS
33,AIRism Katun T-Shirt Bra Punggung Rendah,299000,0.0,WANITA
34,Jaket Hoodie Sweat SpongeBob,499000,0.0,UNISEKS
35,Jaket Hoodie Sweat SpongeBob,499000,5.0,UNISEKS
36,Jaket Hoodie Sweat SpongeBob,499000,5.0,UNISEKS
37,Sweater KAWS + Warhol,399000,5.0,UNISEKS
38,Sweater KAWS + Warhol,399000,4.9,UNISEKS
39,Sweater Peanuts,399000,5.0,UNISEKS
40,Sweater Peanuts,399000,0.0,UNISEKS
41,Sweater Peanuts,399000,5.0,UNISEKS
42,Sweater Peanuts,399000,0.0,UNISEKS
43,Sweater Peanuts,399000,0.0,UNISEKS
44,UT SpongeBob Lengan Pendek,199000,5.0,UNISEKS
45,UT SpongeBob Lengan Pendek,199000,4.8,UNISEKS
46,UT SpongeBob Lengan Pendek,199000,5.0,UNISEKS
47,UT SpongeBob Lengan Pendek,199000,5.0,UNISEKS
48,UT Sesame Street Lengan Pendek,199000,0.0,UNISEKS
49,UT Sesame Street Lengan Pendek,199000,5.0,UNISEKS
50,UT Sesame Street Lengan Pendek,199000,5.0,UNISEKS
51,UT Sesame Street Lengan Pendek,199000,5.0,UNISEKS
52,UT Sesame Street Lengan Pendek,199000,0.0,UNISEKS
53,UT Peanuts Lengan Pendek,199000,0.0,WANITA
54,UT Peanuts Lengan Pendek,199000,5.0,UNISEKS
55,UT Peanuts Lengan Pendek,199000,5.0,UNISEKS
56,UT Peanuts Lengan Pendek,199000,5.0,UNISEKS
57,UT Peanuts Lengan Pendek,199000,0.0,UNISEKS
58,UT Peanuts Lengan Pendek,199000,5.0,UNISEKS
59,UT Peanuts Lengan Pendek,199000,0.0,WANITA
60,UT Peanuts Lengan Pendek,199000,5.0,WANITA
61,UT Peanuts Lengan Pendek,199000,5.0,WANITA
62,UT Peanuts Lengan Pendek,199000,0.0,WANITA
63,UT Peanuts Lengan Pendek,199000,4.9,UNISEKS
64,UT Disney Lengan Pendek,199000,4.0,WANITA
65,UT Disney Lengan Pendek,199000,5.0,WANITA
66,UT Disney Lengan Pendek,199000,5.0,WANITA
67,UT Disney Mini Lengan Pendek,199000,4.9,WANITA
68,UT Disney Mini Lengan Pendek,199000,4.9,WANITA
69,UT Disney Mini Lengan Pendek,199000,4.7,WANITA
70,UT Disney Mini Lengan Pendek,199000,4.9,WANITA
71,UT mofusand Lengan Pendek,129000,5.0,WANITA
